item_id,english_name,display_name,telugu_name,hindi_name,category,sub_category,aliases,search_keywords,measurement_unit,shelf_life_days_ambient,shelf_life_days_refrigerated,shelf_life_days_frozen,recommended_storage,avg_weekly_consumption_pp,min_quantity,max_quantity,purchase_notes,common_household_usage,season_availability,popularity_score,calculation_priority,recommendation_notes
QTY-AP-LVE-0001,Sorrel Leaves (Gongura Red),Red Gongura,ఎర్ర గోంగూర,लाल अंबाडी,Leafy Vegetables,Acidic Greens,Red Gongura | Gongura Red | Lal Ambadi | Gogu Leaves,sour leafy greens | red stem gongura | gongura Pachadi,kg,1,3,NULL,Refrigerated,0.25,0.2,0.75,Stems should snap easily. Discard wilted leaves.,Gongura Pachadi | Gongura Pappu | Gongura Mamsam,Year-Round,10,1,
QTY-AP-LVE-0002,Sorrel Leaves (Gongura Green),Green Gongura,తెల్ల గోంగూర,सफ़ेद अंबाडी,Leafy Vegetables,Acidic Greens,Green Gongura | Gongura Green | Safed Ambadi | Gogu,mild sour greens | white stem gongura | gongura pickle,kg,1,3,NULL,Refrigerated,0.25,0.2,0.75,Fresh green leaves. Avoid dry stems.,Gongura Pachadi | Gongura Pappu,Year-Round,9,1,
QTY-AP-LVE-0003,Amaranth Leaves (Thotakura),Thotakura,తోటకూర,चौलाई,Leafy Vegetables,Neutral Greens,Thotakura | Amaranth Leaves | Chaulai | Green Amaranth,staple leafy green | thotakura fry | thotakura Pappu,kg,1,3,NULL,Refrigerated,0.3,0.2,0.8,"Stems should be tender, leaves bright green.",Thotakura Pappu | Thotakura Fry | Thotakura Pulusu,Year-Round,10,1,
QTY-AP-LVE-0004,Spinach (Palakura),Palakura,పాలకూర,पालक,Leafy Vegetables,Neutral Greens,Palakura | Spinach | Palak,winter greens | palak Pappu | spinach dal,kg,1,3,NULL,Refrigerated,0.25,0.2,0.6,Avoid leaves with yellow spots or insect damage.,Palakura Pappu | Palak Paneer,Year-Round,9,1,
QTY-AP-LVE-0005,Fenugreek Leaves (Menthi Kura),Menthi Kura,మెంతికూర,मेथी,Leafy Vegetables,Bitter Greens,Menthi Kura | Fenugreek Leaves | Methi | Menthi,bitter leafy green | methi Pappu | menthikura fry,kg,1,3,NULL,Refrigerated,0.2,0.1,0.5,Select small-leafed fresh bundles.,Menthi Kura Pappu | Menthikura Fry,Rabi,8,2,
QTY-AP-LVE-0006,Purslane Leaves (Gangabayalu Kura),Gangabayalu Kura,గంగబాయలు కూర,कुलफा,Leafy Vegetables,Neutral Greens,Gangabayalu Kura | Purslane | Kulfa | Gangabayala,thick stem greens | purslane dal | gangabayala Pappu,kg,1,3,NULL,Refrigerated,0.2,0.1,0.5,"Fleshy stems, crisp green leaves.",Gangabayalu Pappu | Gangabayalu Kura Fry,Year-Round,7,2,
QTY-AP-LVE-0007,Malabar Spinach (Bachali Kura),Bachali Kura,బచ్చలికూర,पोई साग,Leafy Vegetables,Neutral Greens,Bachali Kura | Malabar Spinach | Poi Saag | Bachali,climbing spinach | thick green leaves | kanda Bachali,kg,1,3,NULL,Refrigerated,0.25,0.2,0.8,"Thick fleshy leaves, purple or green stems.",Bachali Kura Pappu | Bachali Kura Kanda Pulusu,Year-Round,8,1,
QTY-AP-LVE-0008,Dill Leaves (Soa Kura),Soa Kura,సోయాకూర,सोया साग,Leafy Vegetables,Bitter Greens,Soa Kura | Dill Leaves | Soya Saag | Shepu,dill greens | aromatic herbs | soya kura fry,kg,1,3,NULL,Refrigerated,0.15,0.1,0.5,Fine thread-like fresh green leaves.,Soa Kura Pappu | Soa Kura Fry,Rabi,6,2,
QTY-AP-LVE-0009,Sorrel Spinach (Chukkakura),Chukkakura,చుక్కకూర,खट्टा पालक,Leafy Vegetables,Acidic Greens,Chukkakura | Khatta Palak | Country Sorrel,sour spinach | chukkakura Pappu | sour green dal,kg,1,3,NULL,Refrigerated,0.25,0.2,0.6,Select leaves that are green and crisp.,Chukkakura Pappu | Chukkakura Pachadi,Year-Round,8,1,
QTY-AP-LVE-0010,Curry Leaves (Karivepaku),Karivepaku,కరివేపాకు,कढ़ी पत्ता,Leafy Vegetables,Aromatics,Karivepaku | Curry Leaves | Kadi Patta,seasoning leaves | seasoning herb | talimpu,kg,3,7,NULL,Ambient Dry,0.05,0.05,0.2,Stiff green aromatic leaves.,Talimpu seasoning | Karivepaku Podi,Year-Round,10,2,
QTY-AP-LVE-0011,Coriander Leaves (Kothimera),Kothimera,కొత్తిమీర,हरा धनिया,Leafy Vegetables,Aromatics,Kothimera | Coriander | Dhania Patta | Cilantro,garnishing leaves | coriander pickle | dhaniya,kg,2,5,NULL,Refrigerated,0.1,0.05,0.25,"Bright green leaves, clean fresh aroma.",Kothimera Pachadi | Food Garnishing,Year-Round,10,2,
QTY-AP-LVE-0012,Mint Leaves (Pudina),Pudina,పుదీనా,पुदीना,Leafy Vegetables,Aromatics,Pudina | Mint | Mint Leaves | Spearmint,biryani garnish | mint chutney | pudina Pachadi,kg,2,5,NULL,Refrigerated,0.1,0.05,0.25,"Bright green leaves, strong aromatic fragrance.",Pudina Pachadi | Biryani Garnish | Pudina Chai,Year-Round,9,2,
QTY-AP-LVE-0013,Slender Amaranth (Koyya Thotakura),Koyya Thotakura,కొయ్య తోటకూర,काटेली चौलाई,Leafy Vegetables,Neutral Greens,Koyya Thotakura | Slender Amaranth | Kateli Chaulai,wild amaranth | koyya thotakura fry,kg,1,3,NULL,Refrigerated,0.2,0.1,0.5,Tender stems with fine green leaves.,Koyya Thotakura Fry | Koyyathotakura Pappu,Year-Round,6,2,
QTY-AP-LVE-0014,Sessile Joyweed (Ponnaganti Kura),Ponnaganti Kura,పొన్నగంటి కూర,गुदड़ी साग,Leafy Vegetables,Neutral Greens,Ponnaganti Kura | Joyweed | Ponnaganti | Gudri Saag,healthy greens | ponnaganti fry | eye health leaf,kg,1,3,NULL,Refrigerated,0.2,0.1,0.5,Crisp narrow green leaves.,Ponnaganti Fry | Ponnaganti Pappu,Year-Round,7,2,
QTY-AP-LVE-0015,Spring Onion Greens,Spring Onion Greens,ఉల్లికాడలు,हरे प्याज के पत्ते,Leafy Vegetables,Aromatics,Spring Onion Greens | Green Onion | Scallion Greens | Ullikadalu,onion stalks | chinese onion | ullikadalu fry,kg,2,5,NULL,Refrigerated,0.15,0.1,0.5,Fresh green hollow stalks.,Spring Onion Fry | Garnish,Year-Round,7,2,
QTY-AP-FVE-0016,Tomato (Country),Country Tomato,నాటు టమోటా,देशी टमाटर,Fruit Vegetables,Solanaceous,Country Tomato | Tomato Country | Natu Tomato | Desi Tamatar | Tomato,sour tomatoes | red gravy tomato | tomato Pachadi,kg,4,10,NULL,Ambient Ventilated,0.5,0.25,1.5,"Firm, juicy, reddish orange skins.",Tomato Pappu | Tomato Pachadi | Sambar | Charu,Year-Round,10,1,
QTY-AP-FVE-0017,Tomato (Hybrid),Hybrid Tomato,హైబ్రిడ్ టమోటా,हाइब्रिड टमाटर,Fruit Vegetables,Solanaceous,Hybrid Tomato | Tomato Hybrid | Form Tomato | Tamatar,thick pulp tomatoes | salad tomato | hybrid tamatar,kg,5,12,NULL,Ambient Ventilated,0.5,0.25,1.5,"Firm, dark red, thick skins.",Tomato Curry | Salad | Tomato Rice,Year-Round,9,1,
QTY-AP-FVE-0018,Brinjal (Round Green),Brinjal (Local),వంకాయ,बैंगन,Fruit Vegetables,Solanaceous,Brinjal Local | Round Green Brinjal | Vankaya | Baingan | Eggplant | Aubergine,purple vegetable | round vankaya | gutti vankaya,kg,3,7,NULL,Ambient Ventilated,0.4,0.25,1.0,Choose firm shiny skins without insect holes.,Gutti Vankaya Kura | Vankaya Fry | Vankaya Pachadi,Year-Round,10,1,
QTY-AP-FVE-0019,Brinjal (Long Purple),Long Purple Brinjal,పొడుగు వంకాయ,लंबा बैंगन,Fruit Vegetables,Solanaceous,Long Purple Brinjal | Long Eggplant | Aubergine Purple | Podugu Vankaya,purple brinjal | long vankaya | vankaya fry,kg,3,7,NULL,Ambient Ventilated,0.3,0.25,1.0,"Firm skins, green stalks, lightweight.",Vankaya Fry | Vankaya Pappu,Year-Round,8,1,
QTY-AP-FVE-0020,Lady's Finger (Bendakaya),Lady's Finger,బెండకాయ,भिंडी,Fruit Vegetables,Malvaceous,Lady's Finger | Okra | Lady Finger | Ladies Finger | Bhindi | Bendakaya,slimy green pod | bhindi fry | bendakaya pulusu | okra,kg,3,6,NULL,Refrigerated,0.35,0.25,1.0,Tip should snap easily indicating tenderness.,Bendakaya Fry | Bendakaya Pappu | Bendakaya Pulusu,Year-Round,10,1,
QTY-AP-FVE-0021,Capsicum (Green),Green Capsicum,క్యాప్సికమ్,शिमला मिर्च,Fruit Vegetables,Solanaceous,Capsicum | Green Capsicum | Bell Pepper | Shimla Mirch,green bell pepper | capsicum fry | stuffing chili,kg,4,10,NULL,Refrigerated,0.2,0.25,1.0,"Choose firm, shiny unblemished skin.",Capsicum Fry | Capsicum Masala | Fried Rice,Year-Round,8,2,
QTY-AP-FVE-0022,Capsicum (Red),Red Capsicum,ఎర్ర క్యాప్సికమ్,लाल शिमला मिर्च,Fruit Vegetables,Solanaceous,Red Capsicum | Red Bell Pepper | Lal Shimla Mirch,red capsicum | sweet pepper | color bell pepper,kg,4,10,NULL,Refrigerated,0.15,0.15,0.5,"Select firm, heavy peppers with green stems.",Salad | Stir Fry | Pasta Garnish,Year-Round,6,2,
QTY-AP-FVE-0023,Capsicum (Yellow),Yellow Capsicum,పసుపు క్యాప్సికమ్,पीली शिमला मिर्च,Fruit Vegetables,Solanaceous,Yellow Capsicum | Yellow Bell Pepper | Peeli Shimla Mirch,yellow capsicum | yellow pepper | color bell pepper,kg,4,10,NULL,Refrigerated,0.15,0.15,0.5,Select firm yellow skins.,Salad | Stir Fry | Fried Rice,Year-Round,6,2,
QTY-AP-FVE-0024,Yellow Cucumber (Dosakaya),Cucumber (Dosakaya),దోసకాయ,सफ़ेद ककड़ी,Fruit Vegetables,Cucurbits,Dosakaya | Yellow Cucumber | Local Cucumber | Dosakai,andhra cucumber | dosakaya Pappu | yellow round gourd,kg,7,14,NULL,Refrigerated,0.4,0.25,1.5,Select firm yellow-green gourds.,Dosakaya Pappu | Dosakaya Pachadi | Dosakaya Kura,Year-Round,9,1,
QTY-AP-FVE-0025,Salad Cucumber (Keera),Salad Cucumber,కీర దోసకాయ,खीरा,Fruit Vegetables,Cucurbits,Keera Dosakaya | Salad Cucumber | Green Cucumber | Kheera,raw salad cucumber | kheera salad | green cucumber,kg,4,8,NULL,Refrigerated,0.3,0.25,1.0,Choose firm slender cucumbers with dark skin.,Raw Salad | Cucumber Raita,Year-Round,8,2,
QTY-AP-FVE-0026,Raw Banana (Aratikaya),Raw Banana (Aratikaya),పచ్చి అరటికాయ,कच्चा केला,Fruit Vegetables,Musaceae,Raw Banana | Aratikaya | Green Plantain | Kacha Kela,banana fry | aratikaya bajji | raw aratikaya,kg,4,10,NULL,Ambient Ventilated,0.3,0.25,1.0,Stiff green skins without yellowing or spots.,Aratikaya Fry | Aratikaya Bajji | Aratikaya Pulusu,Year-Round,8,1,
QTY-AP-FVE-0027,Drumstick (Mulakkaya),Drumstick,ములక్కాయ,सहजन,Fruit Vegetables,Legumes,Drumstick | Mulakkaya | Moringa Pods | Sehjan | Sajana,sambar stick | mulakkaya Pappu | drumstick sambar,kg,4,8,NULL,Ambient Ventilated,0.25,0.25,0.75,Select thick but tender green pods.,Sambar | Mulakkaya Kura | Mulakkaya Pappu Charu,Year-Round,9,1,
QTY-AP-FVE-0028,Green Chilli (Mirapakaya),Green Chilli,పచ్చి మిరపకాయ,हरी मिर्च,Fruit Vegetables,Solanaceous,Green Chilli | Mirapakaya | Hari Mirch | Chilli,spicy pepper | seasoning chili | mirchi bajji,kg,7,15,NULL,Refrigerated,0.15,0.1,0.5,Select bright green stiff chillies.,Pachadi | Sambar seasoning | Mirchi Bajji,Year-Round,10,2,
QTY-AP-FVE-0029,Raw Mango (Mamidikaya),Raw Mango,పచ్చి మామిడికాయ,कच्चा आम,Fruit Vegetables,Anacardiaceae,Raw Mango | Green Mango | Mamidikaya | Kacha Aam,sour mango | mango Pachadi | mango Pappu | avakaya,kg,7,21,NULL,Ambient Ventilated,0.3,0.25,1.0,Firm hard mangoes with sour aroma.,Mamidikaya Pappu | Mango Pachadi | Avakaya pickle,Summer,9,2,
QTY-AP-FVE-0030,Green Jackfruit (Panasakaaya),Raw Jackfruit,పచ్చి పనసకాయ,कच्चा कटहल,Fruit Vegetables,Moraceae,Raw Jackfruit | Green Jackfruit | Panasakaaya | Kacha Kathal,jackfruit curry | panasakaya biryani | kathal,kg,3,7,NULL,Refrigerated,0.4,0.5,2.0,Select firm heavy raw segments without yellowing.,Panasakaya Biryani | Panasakaya Kura,Summer,5,2,
QTY-AP-RVE-0031,Potato (Bangaladumpa),Potato (Bangaladumpa),బంగాళాదుంప,आलू,Root Vegetables,Tubers,Potato | Bangaladumpa | Aloo | Alloo,staple potato | aloo fry | potato curry,kg,14,30,NULL,Ambient Dry,0.5,0.25,2.0,Choose smooth firm potatoes without sprouts.,Aloo Kurma | Bangaladumpa Fry | Aloo Samosa,Year-Round,10,1,
QTY-AP-RVE-0032,Sweet Potato (Genusudumpa),Sweet Potato (Genusudumpa),గెనుసుదుంప,शकरकंद,Root Vegetables,Tubers,Sweet Potato | Genusudumpa | Shakarkand | Genusu,boiled sweet potato | winter root | genusu fry,kg,10,20,NULL,Ambient Dry,0.3,0.25,1.0,Select firm dry tubers.,Boiled Sweet Potato | Genusudumpa Kura,Rabi,7,2,
QTY-AP-RVE-0033,Carrot (Carrot),Carrot (Carrot),క్యారెట్,गाजर,Root Vegetables,Taproots,Carrot | Gajar | Carot,orange root | carrot fry | carrot halwa,kg,7,14,NULL,Refrigerated,0.3,0.25,1.0,Select firm bright orange carrots.,Carrot Fry | Carrot Halwa | Carrot Salad,Year-Round,8,1,
QTY-AP-RVE-0034,Beetroot,Beetroot,బీట్‌రూట్,चुकंदर,Root Vegetables,Taproots,Beetroot | Chukandar | Bitroot,red root | beetroot fry | beetroot Pachadi,kg,7,14,NULL,Refrigerated,0.25,0.25,1.0,Hard smooth skin beetroot.,Beetroot Fry | Beetroot Pachadi | Beetroot Halwa,Year-Round,7,1,
QTY-AP-RVE-0035,White Radish (Mullangi),Radish (Mullangi),ముల్లంగి,मूली,Root Vegetables,Taproots,Radish | Mullangi | Mooli | White Radish,mullangi sambar | white root | mooli fry,kg,4,10,NULL,Refrigerated,0.25,0.25,1.0,Select crisp firm white roots.,Mullangi Sambar | Mullangi Fry | Mullangi Pachadi,Year-Round,7,1,
QTY-AP-RVE-0036,Red Radish,Red Radish,ఎర్ర ముల్లంగి,लाल मूली,Root Vegetables,Taproots,Red Radish | Lal Mooli | Local Radish Red,red radish | radish salad | small red root,kg,4,10,NULL,Refrigerated,0.2,0.15,0.5,Select firm small globes with crisp skins.,Salad | Pickle,Winter,5,2,
QTY-AP-RVE-0037,Taro Root (Chamadumpa),Taro Root,చామదుంప,अरबी,Root Vegetables,Tubers,Taro Root | Chamadumpa | Arbi | Chamagadda | Arvi,sticky root | chamadumpa fry | arbi curry | arbi fry,kg,14,30,NULL,Ambient Dry,0.3,0.25,1.5,Select hard tubers without soft spots.,Chamadumpa Pulusu | Chamadumpa Fry,Rabi,7,2,
QTY-AP-RVE-0038,Yam (Kanda),Yam (Kanda),కంద,जिमीकंद,Root Vegetables,Tubers,Yam | Kanda | Elephant Yam | Suran | Jimikand | Kandagadda,yam fry | kanda fry | suran kura,kg,14,45,NULL,Ambient Dry,0.3,0.25,1.5,"Select hard dry roots, avoid cut pieces with rot.",Kanda Bachali Kura | Kanda Fry | Jimikand Curry,Year-Round,7,1,
QTY-AP-RVE-0039,Tapioca (Karra Pendalam),Tapioca,కర్రపెండలం,साबूदाना जड़,Root Vegetables,Tubers,Tapioca | Karra Pendalam | Cassava root | Sabudana root,tapioca boil | cassava fry | karrapendalam,kg,7,14,NULL,Ambient Dry,0.4,0.5,2.0,Firm roots with clean white flesh inside.,Boiled Tapioca | Tapioca Chips,Winter,6,2,
QTY-AP-RVE-0040,Colocasia Leaves,Colocasia Leaves,చామ ఆకులు,अरबी के पत्ते,Root Vegetables,Neutral Greens,Colocasia Leaves | Taro Leaves | Arbi Patta | Chama Akulu,patra leaves | chama akula fry,kg,1,3,NULL,Refrigerated,0.15,0.1,0.4,Fresh green heart-shaped leaves.,Patra | Chama Akulu Pappu,Monsoon,5,2,
QTY-AP-RVE-0041,Ginger (Allam),Ginger (Allam),అల్లం,अदरक,Root Vegetables,Tubers,Ginger | Allam | Adrak,ginger spice | allam Pachadi | ginger garlic paste,kg,7,21,NULL,Ambient Dry,0.1,0.1,0.5,Select hard firm ginger roots.,Allam Pachadi | Ginger Garlic Paste | Ginger Tea,Year-Round,9,2,
QTY-AP-RVE-0042,Garlic (Vellulli),Garlic (Vellulli),వెల్లుల్లి,लहसुन,Root Vegetables,Allium,Garlic | Vellulli | Lahsun,garlic bulb | seasoning garlic | vellulli karam,kg,30,60,NULL,Ambient Dry,0.1,0.1,0.5,Select firm dry garlic bulbs.,Vellulli Karam | Seasoning talimpu,Year-Round,9,2,
QTY-AP-RVE-0043,Colocasia Stem (Chama Kada),Colocasia Stem,చామ కాడ,अरबी की डंडी,Root Vegetables,Neutral Greens,Colocasia Stem | Taro Stem | Chama Kada,chama kada pulusu | colocasia stem curry,kg,2,5,NULL,Refrigerated,0.25,0.25,0.8,Fresh green stalks.,Chama Kada Pulusu,Monsoon,4,2,
QTY-AP-RVE-0044,Raw Turmeric (Pasupu Kommu),Raw Turmeric,పచ్చి పసుపు కొమ్ము,कच्ची हल्दी,Root Vegetables,Tubers,Raw Turmeric | Turmeric root | Pasupu Kommu | Kachi Haldi,haldi root | fresh turmeric | pasupu pickle,kg,10,30,NULL,Ambient Dry,0.05,0.05,0.2,Firm yellow root stalks.,Turmeric Pickle | Health Drinks,Winter,6,2,
QTY-AP-RVE-0045,Turnip,Turnip,టర్నిప్,शलजम,Root Vegetables,Taproots,Turnip | Shalgam | Turnip root,winter turnip | turnip Sambar,kg,7,14,NULL,Refrigerated,0.2,0.25,1.0,Select smooth firm white-purple roots.,Turnip Sambar | Turnip Kura,Rabi,5,2,
QTY-AP-GOU-0046,Bottle Gourd (Sorakaya),Bottle Gourd,సొరకాయ,लौकी,Gourds,Cucurbits,Bottle Gourd | Sorakaya | Lauki | Kaddu | Anapakaya,long green gourd | sorakaya Pappu | lauki halwa,kg,5,10,NULL,Ambient Ventilated,0.4,0.5,1.5,Skin should be smooth and light green.,Sorakaya Pappu | Sorakaya Pulusu | Lauki Halwa,Year-Round,9,1,
QTY-AP-GOU-0047,Ridge Gourd (Beerakaya),Ridge Gourd,బీరకాయ,तुरई,Gourds,Cucurbits,Ridge Gourd | Beerakaya | Turai | Dodka,ridged vegetable | beerakaya fry | beerakaya Pappu,kg,3,7,NULL,Refrigerated,0.35,0.25,1.0,Select firm green gourds without soft spots.,Beerakaya Fry | Beerakaya Pappu | Beerakaya Pachadi,Year-Round,9,1,
QTY-AP-GOU-0048,Bitter Gourd (Kakarakaya),Bitter Gourd,కాకరకాయ,करेला,Gourds,Cucurbits,Bitter Gourd | Kakarakaya | Karela | Bitter melon,bitter gourd | karela fry | kakarakaya fry,kg,5,10,NULL,Ambient Ventilated,0.25,0.25,0.75,Firm skin with green ridges.,Kakarakaya Fry | Kakarakaya Pulusu | Kakarakaya pickle,Year-Round,8,2,
QTY-AP-GOU-0049,Snake Gourd (Potlakaya),Snake Gourd,పొట్లకాయ,चिचिंडा,Gourds,Cucurbits,Snake Gourd | Potlakaya | Chichinda | Padwal,long snake gourd | potlakaya fry | snake gourd yogurt,kg,3,7,NULL,Refrigerated,0.25,0.25,1.0,Choose long green gourds without yellowing.,Potlakaya Fry | Potlakaya Perugu Pachadi,Year-Round,8,1,
QTY-AP-GOU-0050,Pointed Gourd (Parval),Pointed Gourd,పటోలా,परवल,Gourds,Cucurbits,Pointed Gourd | Parval | Patola | Potol,pointed gourd | parval fry | patola masala,kg,3,7,NULL,Refrigerated,0.25,0.25,0.75,Select bright green firm gourds.,Parval Fry | Parval Masala,Kharif,5,2,
QTY-AP-GOU-0051,Ivy Gourd (Dondakaya),Ivy Gourd,దొండకాయ,कुंदरू,Gourds,Cucurbits,Ivy Gourd | Dondakaya | Kundru | Coccinia | Tendli | Okra,small green gourd | dondakaya fry | kundru fry,kg,4,8,NULL,Refrigerated,0.35,0.25,1.0,"Choose firm green gourds, avoid yellow/soft ones.",Dondakaya Fry | Dondakaya Pachadi | Dondakaya Kura,Year-Round,9,1,
QTY-AP-GOU-0052,Ash Gourd (Boodida Gummadikaya),Ash Gourd,బూడిద గుమ్మడికాయ,पेठा,Gourds,Cucurbits,Ash Gourd | Boodida Gummadikaya | Petha | Winter Melon | White Pumpkin,white gourd | boodida gummadikaya vadiyalu | majjiga pulusu,kg,14,30,NULL,Ambient Dry,0.3,0.5,2.0,Select firm heavy white ash-coated gourds.,Boodida Gummadikaya Vadiyalu | Majjiga Pulusu | Petha Sweet,Year-Round,8,1,
QTY-AP-GOU-0053,Pumpkin (Gummadikaya),Pumpkin,గుమ్మడికాయ,कद्दू,Gourds,Cucurbits,Pumpkin | Gummadikaya | Kaddu | Red Pumpkin | Yellow Pumpkin,sweet pumpkin | gummadikaya kura | pumpkin sambar,kg,7,20,NULL,Ambient Ventilated,0.35,0.5,2.0,Select heavy hard gourds with deep orange/green color.,Gummadikaya Kura | Pumpkin Sambar | Sweet Halwa,Year-Round,8,1,
QTY-AP-GOU-0054,Sponge Gourd (Neti Beerakaya),Sponge Gourd,నేతి బీరకాయ,गलका,Gourds,Cucurbits,Sponge Gourd | Neti Beerakaya | Luffa | Gilki | Galka,smooth beerakaya | neti beerakaya fry,kg,3,7,NULL,Refrigerated,0.3,0.25,1.0,Select tender green sponge gourds.,Neti Beerakaya Fry | Neti Beerakaya Pappu,Year-Round,7,2,
QTY-AP-GOU-0055,Spine Gourd (Boda Kakarakaya),Spine Gourd,ఆగాకరకాయ,कंटोला,Gourds,Cucurbits,Spine Gourd | Boda Kakarakaya | Kantola | Agakarakaya | Kakrol,wild bitter gourd | agakaraka fry | boda kakarakaya,kg,3,7,NULL,Refrigerated,0.25,0.25,0.75,"Small spiny green gourds, choose firm ones.",Boda Kakarakaya Fry | Boda Kakarakaya Kura,Monsoon,8,2,
QTY-AP-GOU-0056,Apple Gourd (Tinda),Apple Gourd,టిండా,टिंडा,Gourds,Cucurbits,Apple Gourd | Tinda | Round Gourd | Dilpasand,tinda curry | round gourd fry,kg,4,8,NULL,Refrigerated,0.2,0.25,1.0,Select small firm round tinas.,Tinda Curry | Masala Tinda,Summer,5,2,
